"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2012","269.9329","268.3123","270.8589","268.1837","","0.42%"
"04/25/2012","268.8011","268.6467","269.9329","266.2803","","0.52%"
"04/24/2012","267.4121","266.1516","268.6725","266.1002","","0.40%"
"04/23/2012","266.3574","266.2288","268.2609","263.0649","","-0.71%"
"04/20/2012","268.2609","267.2577","270.1901","266.5375","","1.11%"
"04/19/2012","265.3285","267.2577","267.2577","263.8881","","-0.42%"
"04/18/2012","266.4346","270.1644","270.5245","265.1485","","-1.43%"
"04/17/2012","270.2930","268.8782","272.1193","268.6210","","1.22%"
"04/16/2012","267.0262","266.1774","268.1837","264.4025","","0.01%"
"04/13/2012","267.0005","268.0365","268.8869","266.3975","","-0.75%"
"04/12/2012","269.0055","267.9573","270.4305","266.0262","","0.89%"
"04/11/2012","266.6252","263.8628","267.7425","262.8644","","1.60%"
"04/10/2012","262.4144","264.6643","267.3548","261.6627","","-1.40%"
"04/09/2012","266.1314","264.4430","266.3132","262.0015","","-0.82%"
"04/05/2012","268.3392","264.4171","268.5470","263.3262","","1.81%"
"04/04/2012","263.5599","268.4171","268.5470","262.5729","","-2.44%"
"04/03/2012","270.1574","271.1963","273.1444","269.1703","","-1.16%"
"04/02/2012","273.3262","266.1573","273.8197","265.1963","","2.15%"
"03/30/2012","267.5859","268.2612","270.3911","267.0405","","0.23%"
"03/29/2012","266.9625","272.4171","273.7937","265.3002","","-2.50%"
"03/28/2012","273.7937","276.2353","276.8587","272.0015","","-1.79%"
"03/27/2012","278.7808","278.6249","279.7159","276.7029","","0.28%"
"03/26/2012","278.0016","276.9106","278.6769","276.7548","","0.15%"
"03/23/2012","277.5860","274.9626","280.5730","273.1963","","1.44%"
"03/22/2012","273.6379","275.5600","276.4691","271.5080","","-1.79%"
"03/21/2012","278.6249","276.6769","279.5600","275.5340","","1.13%"
"03/20/2012","275.5080","279.5860","280.4431","274.6249","","-2.29%"
"03/19/2012","281.9756","278.4171","282.2873","278.2613","","0.91%"
"03/16/2012","279.4301","274.6249","279.6379","274.5470","","1.83%"
"03/15/2012","274.4171","275.2483","277.0665","271.1184","","-0.28%"
